                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1906,                 4.2908,                 4.2519,                0.00222,                0.61837,                0.00405,                0.00128,                 3.2052,                  4.691,                 4.0867,               0.070316,              0.0032982,              0.0032982
                      1,                 3.1885,                 4.1749,                 4.0544,                0.00217,                0.66491,                0.00965,                 0.0026,                  3.124,                 4.7328,                 4.1153,                0.04025,              0.0065659,              0.0065659
                      2,                 2.9405,                 3.9385,                 3.6895,                0.00216,                0.55073,                0.00303,                0.00072,                 3.0834,                 5.0808,                 3.7407,               0.010118,              0.0097676,              0.0097676
                      3,                 2.6028,                 3.6442,                 3.2201,                0.55964,                0.01136,                0.01679,                 0.0041,                 2.5988,                 7.2556,                  3.297,               0.009703,               0.009703,               0.009703
                      4,                 2.2738,                 3.3271,                 2.8281,                0.07432,                0.08009,                0.04548,                0.01633,                 2.3756,                 3.9662,                 2.8589,               0.009703,               0.009703,               0.009703
                      5,                 2.0124,                  3.021,                 2.5316,                0.22022,                0.36852,                0.26033,                0.13165,                 1.9285,                 2.8107,                 2.4714,               0.009604,               0.009604,               0.009604
                      6,                 1.8123,                 2.7656,                 2.3043,                0.78869,                0.18669,                0.31043,                0.17424,                 1.8989,                 2.7738,                 2.3015,               0.009505,               0.009505,               0.009505
                      7,                 1.6712,                 2.6178,                 2.1446,                0.24051,                0.42357,                0.31052,                0.19715,                 1.8242,                 2.9544,                 2.2014,               0.009406,               0.009406,               0.009406
                      8,                 1.5298,                 2.4215,                 1.9814,                0.27301,                0.51272,                 0.3682,                0.23941,                 1.4251,                 2.1741,                 1.9366,               0.009307,               0.009307,               0.009307
                      9,                 1.4369,                 2.3333,                 1.8853,                0.26975,                0.49161,                0.32185,                0.20909,                 1.4869,                  2.117,                  1.917,               0.009208,               0.009208,               0.009208
                     10,                 1.3558,                 2.2716,                 1.8169,                0.32927,                0.67673,                0.39639,                 0.2609,                 1.2551,                 2.0128,                 1.7694,               0.009109,               0.009109,               0.009109
                     11,                 1.3282,                 2.1746,                 1.7716,                0.36143,                  0.564,                0.38585,                0.25316,                 1.2867,                 1.9403,                 1.7647,                0.00901,                0.00901,                0.00901
                     12,                 1.2799,                 2.1287,                 1.7256,                0.35235,                0.63064,                0.46242,                0.31505,                 1.2077,                 1.7621,                 1.6973,               0.008911,               0.008911,               0.008911
